subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim100110058506,100,110,0.05,0.85,0.865596569608962,0.00555534450659,0.0202020248487012,43
sim100110059006,100,110,0.05,0.9,0.931596144369001,0.00152243431876291,0.0101010058617818,37
sim100110059506,100,110,0.05,0.95,0.982802584340942,0.164476223055392,0.0251805641964396,41
sim100110950506,100,110,0.95,0.05,0.0176044420732132,0.00686867637990408,1.03232325456081e-07,46
sim100110951006,100,110,0.95,0.1,0.0585844541593715,0.00709604777728224,1.04040403557908e-07,49
sim100110951506,100,110,0.95,0.15,0.107698406478892,0.0940986468304013,1.0589933817831e-07,39
sim100110952006,100,110,0.95,0.2,0.129046480518643,0.0437509802141493,1.04252457754666e-07,32
sim100110952506,100,110,0.95,0.25,0.226865117960914,0.000494292341211539,1.03232322851033e-07,35
sim100110953006,100,110,0.95,0.3,0.259963327709838,0.0173296056038786,0.0107639466469107,33
sim100110953506,100,110,0.95,0.35,0.31222852415724,0.000517757099275721,1.16161613728403e-07,33
sim100110954006,100,110,0.95,0.4,0.370107428296507,0.000186183313926914,0.0101010063294496,27
sim100110954506,100,110,0.95,0.45,0.470223564757257,0.00177709589466277,1.04205650363469e-07,31
sim100110955006,100,110,0.95,0.5,0.12985364962085,0.676615696191854,0.148300161061577,41
sim100110955506,100,110,0.95,0.55,0.579777436211247,0.000495389117883373,1.00808080722292e-07,74
sim100110956006,100,110,0.95,0.6,0.530910002343591,0.000112510431153528,1.00161616143513e-07,76
sim100110956506,100,110,0.95,0.65,0.675763023864377,0.0120091449115603,1.04399070949018e-07,77
sim100110957006,100,110,0.95,0.7,0.738273729916003,0.000885689603431432,1.12929290451835e-07,79
sim100110957506,100,110,0.95,0.75,0.812486471624143,6.98689974468501e-05,1.0323232285072e-07,75
sim100110958006,100,110,0.95,0.8,0.870104258761282,0.00126208366841207,0.0101010052037993,79
sim100110958506,100,110,0.95,0.85,0.915697875468802,0.0729858267177364,1.02141501116394e-07,86
sim100110959006,100,110,0.95,0.9,0.955132054895,0.133050766164081,1.04396311899842e-07,85
sim100110959506,100,110,0.95,0.95,0.987262675200167,0.419178622633207,1.07037825218225e-07,83
sim100160050506,100,160,0.05,0.05,0.035689767446338,0.323628568011691,1.06848829808574e-07,73
sim100160051006,100,160,0.05,0.1,0.0623148563084053,0.0351870659451105,1.04224132149413e-07,66
sim100160051506,100,160,0.05,0.15,0.106293024376829,0.000163671015120611,1.03232322849717e-07,81
sim100160052006,100,160,0.05,0.2,0.175553537985125,0.00102425614778733,1.02585858254742e-07,78
sim100160052506,100,160,0.05,0.25,0.226735374369925,0.0642099413829038,2.81929682803779e-07,73
sim100160053006,100,160,0.05,0.3,0.311366764725151,0.000190888066642222,0.0101010184160812,71
sim100160053506,100,160,0.05,0.35,0.351445384455002,0.000186716983082428,1.16161613482255e-07,73
sim100160054006,100,160,0.05,0.4,0.386197984880408,0.000345195191538105,1.16161613727448e-07,64
sim100160054506,100,160,0.05,0.45,0.466292135583765,0.000117334397308721,1.03232322849973e-07,65
sim100160055006,100,160,0.05,0.5,0.499997367078423,1.22920857050954e-06,0.42925239440822,53
sim100160055506,100,160,0.05,0.55,0.556114666941566,0.00268868030192399,1.21049496393109e-07,32
sim100160056006,100,160,0.05,0.6,0.617180201111309,0.000443547964483254,1.16161613723962e-07,35
sim100160056506,100,160,0.05,0.65,0.676897796300499,0.000588136600839719,0.0101010825703823,35
sim100160057006,100,160,0.05,0.7,0.690968375996475,0.000977991288231415,0.0202020189025448,36
sim100160057506,100,160,0.05,0.75,0.765236975051155,0.000862203382251212,0.010101005234265,43
sim100160058006,100,160,0.05,0.8,0.821666593176171,0.00184592519701138,1.12929291355942e-07,38
sim100160058506,100,160,0.05,0.85,0.908113530964186,0.0689415668819708,1.04639821299204e-07,44
sim100160059006,100,160,0.05,0.9,0.922576414794821,0.0218512000947006,1.21228580951808e-07,39
sim100160059506,100,160,0.05,0.95,0.979572886908543,0.0640922739143111,0.0453372172858868,43
sim100160950506,100,160,0.95,0.05,0.0299720874271993,0.0244232902643605,1.04388067019262e-07,44
sim100160951006,100,160,0.95,0.1,0.0655863338486289,0.00338535506823957,0.0303030338982312,44
sim100160951506,100,160,0.95,0.15,0.134316809810661,0.00140172836853616,1.12929290742331e-07,42
sim100160952006,100,160,0.95,0.2,0.17908515447429,0.0162798356475603,0.0104305855933089,43
sim100160952506,100,160,0.95,0.25,0.234435493352736,0.000536453467498005,0.0101010052386559,34
sim100160953006,100,160,0.95,0.3,0.287826754920432,0.00547067541486913,0.0104249030630127,36
sim100160953506,100,160,0.95,0.35,0.390380228114691,0.000481368140093652,0.0101010185226904,32
sim100160954006,100,160,0.95,0.4,0.388833441292977,0.00018772638137092,1.12929290970622e-07,37
sim100160954506,100,160,0.95,0.45,0.464967348712992,0.00119277154481479,0.0113052599027538,34
sim100160955006,100,160,0.95,0.5,0.00105522268589769,1.57716192392301,0.145345517079906,41
sim100160955506,100,160,0.95,0.55,0.548686241263123,5.46840861609294e-05,1.03232322851704e-07,68
sim100160956006,100,160,0.95,0.6,0.640542135890167,0.000530192796676718,1.00808080722521e-07,71
sim100160956506,100,160,0.95,0.65,0.651417024596094,0.000248448846128635,1.0323232285165e-07,75
sim100160957006,100,160,0.95,0.7,0.71012961236404,0.00997000238036224,1.21005456034976e-07,72
